id,subscription_id,price_cents,paid_at,period_end
227d5c30-e268-4c61-972f-ec65fc117ffd,00046eac-31fd-4f89-95e9-782e4bd336dc,100,2022-11-09 19:58:04,2022-12-14 16:58:23.106891
92f049da-75b8-47ef-931d-8d2100ef43d6,0007d593-6cee-4e3d-9634-679ae813215f,100,2022-11-21 20:47:46,2022-12-05 17:47:51.375435
b05af27d-efc9-47ff-a70b-813289b5009d,000bf66f-c74e-4609-98f0-681496ea2bff,100,2022-11-08 18:52:33,2022-11-22 15:52:54.176758
79a3e02a-678c-411f-82ed-83e50e9b6ebb,0014bc3c-6078-4980-b11a-9f6b5f003268,100,2022-11-15 22:05:22,2022-11-29 19:05:39.278666
285bf45c-395b-4eff-af6f-f6317cd12009,0017568c-bcec-4d15-bb80-01287ca8e0f7,100,2022-11-22 03:45:51,2022-12-06 00:45:54.302787
f8d48e1f-a7e9-45bb-ad9b-0a6c05ee5057,00204c76-8779-4486-8740-2692d18ca345,100,2022-11-19 21:07:28,2022-12-03 18:07:31.546170
7f84af6f-498d-4c6e-a632-430dc7a44073,0022487f-b9bb-4001-a993-bfd377c5d7a9,100,2022-11-22 12:20:40,2022-12-06 09:20:43.243651
27a1f136-aba3-4c86-a470-b87888b012e0,0024b5a5-8888-45da-ab1c-0aaca90e3ad5,100,2022-11-05 20:55:56,2022-12-10 17:56:01.075264
32798d84-ae08-4c44-8028-5cd32f48bb4a,00260142-d8ec-4df7-bf19-fc0dc0e2af5e,100,2022-11-02 15:32:51,2022-12-07 12:32:53.817877
5197feb7-ea29-4570-a4b9-add4a4763234,002805f2-db7a-4e79-91e5-9ada6d371082,100,2022-11-22 10:59:42,2022-12-06 07:59:44.552734
0eb7c81e-bc21-439e-993c-b3fb931a335c,002aae61-14b7-4238-9f61-e07ecf63dc9f,100,2022-11-16 00:46:05,2022-12-20 21:46:08.351518
954c7df0-fc59-4684-b6e8-03cbd7c9f2ba,002f78b1-00a5-4b8f-93b7-883187153cb0,100,2022-11-19 09:56:21,2022-12-03 06:56:24.333788
36843b09-a3d5-49c0-b6b3-d8e0ef559806,0034d7e0-b874-4e18-958d-cae627f56752,100,2022-12-01 21:44:12,2022-12-15 18:45:16.699164
f43b3d6a-5e69-476e-9ac1-e84831c612bf,00395af2-ca83-447f-a241-ebd8ce58120f,100,2022-12-03 22:40:02,2022-12-17 19:40:23.573542
cd6961a6-440d-40fa-865b-46244c095d02,003a582b-3f04-439b-8063-14e01f18953b,100,2022-11-21 23:11:06,2022-12-05 20:11:10.287682
