id,user_id,sub_started,ends_at,price_cents,state,recurrent
eb82711c-3fab-4f68-ba5d-591f119309e7,0003c7d3-5fda-4422-bf77-3db7f791cc3a,2022-11-22 20:06:08.182062,2022-12-06 20:06:10.972687,29900,canceled,True
8ce5d7e7-350f-4245-b413-f25c186fc0a7,000a9e0a-6911-44d4-9e6e-405b7b6be880,2022-11-27 08:50:17.050380,2022-12-11 08:51:10.879795,29900,canceled,False
03c71471-4d70-4b82-8d17-a3410c135092,000e18a8-e216-4915-9475-f7d30e204764,2022-11-19 15:35:17.888684,2022-12-03 15:35:21.599019,29900,canceled,True
3e0a59c4-dc58-402d-adf5-c039e84e4563,001a89a8-a911-4bbf-acf9-5e853f9de707,2022-11-18 20:43:41.150247,2022-12-02 20:43:43.679765,29900,canceled,True
650771eb-16de-4ca5-88a4-27d6f740a95b,001bdcee-9578-4b94-aedc-d594706f154d,2022-11-22 16:18:45.647666,2022-12-06 16:18:51.514513,29900,canceled,False
fb10dc1e-8ad9-4059-8c3a-5d01215b321a,00266b9a-d14c-4849-b7e1-b18892599ae9,2022-11-21 13:20:05.485361,2022-12-05 13:20:08.482153,29900,canceled,True
63e87029-6289-4e51-a505-3076abb2c7e9,00327c8a-1038-4a39-9aa9-090461bc6580,2022-11-10 00:20:17.436421,2022-12-15 00:20:57.283671,29900,normal_period,True
53d63395-79ae-4d56-a4b2-6a3e9d37aa6c,00373567-eafe-41bd-bf03-0fc397fe6b5a,2022-11-19 16:10:24.668945,2022-12-03 16:10:28.033326,29900,canceled,True
7ea38658-6091-485f-aff3-1d97fbddf51d,003d5fe4-0463-49fd-b4bc-12fee2a3ec7d,2022-11-21 18:35:49.882467,2022-12-05 18:35:52.230372,29900,canceled,True
327758e3-7d47-4a21-9e07-c629a354a85f,003fac17-531b-4642-b2bd-c188d65334eb,2022-11-19 08:52:16.336911,2022-12-03 08:52:19.676871,29900,canceled,True
5d3b518d-5ceb-4f31-8b28-3a766526c9e8,004a2d3f-d046-418a-816d-5d79893e7502,2022-11-02 08:50:44.935930,2022-12-07 08:52:46.174657,29900,canceled,False
7de2dc61-e8cb-4e19-93e2-e04bf1c22934,00514b39-c644-468e-9c27-b32dcb239983,2022-11-21 01:09:41.251083,2023-02-08 01:10:19.149560,29900,normal_period,True
ac506790-d6e4-40e8-9a60-4d2af2eec13a,005a9d32-3e0b-4abd-a521-913ff6004d7a,2022-11-22 05:17:16.177377,2022-12-06 05:17:20.099243,29900,canceled,False
44b073f3-3465-471c-8fd0-ef44f16dc9b5,005aaa7d-ef41-4f2c-9372-2bae5ff66095,2022-11-20 18:05:04.573389,2023-01-04 18:05:45.477764,29900,normal_period,True
a981f4d2-ef10-4f35-b10a-7c37a5e88ad9,006319f6-81e0-4034-957a-f440bbf66cf1,2022-12-02 18:31:23.102991,2022-12-16 18:35:54.074756,29900,trial,True
697ac6d6-152f-433e-ba6a-a8b3e4d7c599,00654d45-e883-453e-8678-60b54306c8ae,2022-12-12 15:11:56.529088,2023-01-11 15:13:59.467311,29900,normal_period,True
eac9ebc1-d1be-4eb3-970c-e1e78ea865bb,0066ed22-fcc0-4d3a-83af-0fab5bacaed7,2022-11-29 20:48:48.060331,2022-12-13 20:49:32.769937,29900,trial,True
ee47ef45-08b5-4e94-bd86-c1bab8899044,007f5a72-db9d-4e19-9ee8-4633fe5bb5e5,2022-11-19 16:17:27.676449,2022-12-03 16:17:31.158506,29900,canceled,True
891c34e6-9e61-472d-af4c-7107d5b5913e,0083a23d-9ea2-4fbd-a944-e83fbc969bf2,2022-11-22 09:55:07.380518,2022-12-06 09:55:22.322756,29900,canceled,False
0fd26db8-72ba-420a-b935-bbadbe39f424,008aff5b-476d-4ce3-af14-39cb835fc949,2022-11-18 08:46:31.786428,2022-12-16 08:49:46.713922,29900,normal_period,False
72ff6620-ded5-4648-8c90-e3a01b87e049,00955601-cba4-41f7-a5aa-2f61a3641a65,2022-11-22 10:12:31.849006,2022-12-06 10:12:43.515680,29900,canceled,False
1da7f2ad-6375-4d54-8c8f-c8869be94e57,0096d21f-5b8c-4606-a37f-854f1e1bb2bd,2022-11-13 16:14:05.737446,2022-12-18 16:15:44.532013,29900,normal_period,True
c4123e3f-adf1-4fb3-8457-40e23451b0cb,009b547d-cf56-4c73-85d1-b9cbf30e19c3,2022-11-21 20:18:20.858896,2022-12-05 20:18:25.813082,29900,canceled,False
4fc905b6-801f-4e5c-b9e7-a6c3300167b0,009bf5ca-40a0-489e-9dcb-0c09db73e238,2022-11-19 10:45:40.542271,2022-12-03 10:45:44.073469,29900,canceled,True
c3d54ed1-a825-4def-8ceb-10ca2ca86971,00a4d542-f1e5-4de3-a7ee-c43d1980d7ff,2022-11-03 05:58:07.850979,2022-12-08 05:59:15.539180,29900,canceled,False
d46beabc-416d-41fb-aea1-7e4fa912443b,00b6d53d-77d1-4cff-a890-778a88488e45,2022-12-02 06:24:21.905961,2022-12-16 06:26:31.272632,29900,trial,False
04960b2d-5676-4b17-b0d4-6de09b041b31,00c823bc-a2c1-401c-af70-be1d10cf64d5,2022-11-06 07:24:59.379094,2022-11-20 07:25:13.596659,29900,canceled,True
